,0,1,2,3,4,5,6,7,8,9,10
0,he,found,himself,in,the,neighborhood,of,,,,
1,the,asteroids,three two five,,,,,,,,
2,three two six,three two seven,,,,,,,,,
3,three two eight,three two nine,,,,,,,,,
4,and,three three zero,so,,,,,,,,
5,he,began,by,visiting,them,to,,,,,
6,learn,more,the,first,,,,,,,
7,one,was,inhabited,by,a,king,,,,,
8,the,king,was,sitting,dressed,,,,,,
9,in,purple,and,ermine,on,a,,,,,
10,very,simple,yet,majestic,throne,,,,,,
11,ah,here,comes,,,,,,,,
12,a,subject,exclaimed,the,king,when,,,,,
13,he,caught,sight,of,the,little,prince,,,,
14,and,the,little,prince,asked,himself,,,,,
15,how,could,he,recognise,me,when,,,,,
16,he,s,never,seen,me,before,,,,,
17,he,didnt,,know,that,for,kings,,,,
18,the,world,is,very,much,simplified,,,,,
19,to,them,all,men,are,subjects,,,,,
20,approach,so,that,i,,,,,,,
21,may,see,you,better,said,the,king,who,,,
22,was,very,proud,to,finally,be,,,,,
23,king,over,somebody,,,,,,,,
24,the,little,prince,looked,around,him,for,,,,
25,a,place,to,sit,but,the,planet,,,,
26,was,completely,taken,over,by,the,magnificent,,,,
27,ermine,robe,,,,,,,,,
28,so,he,remained,standing,and,,,,,,
29,since,he,was,tired,he,yawned,,,,,
30,it,is,contrary,to,etiquette,to,,,,,
31,yawn,in,the,presence,of,a,king,the,,,
32,monarch,said,to,him,i,forbid,you,,,,
33,to,do,so,i,cant,,stop,,,,
34,myself,replied,the,little,prince,,,,,,
35,thoroughly,embarrassed,,,,,,,,,
36,i,ve,come,on,a,long,journey,and,i,havent,
37,slept,ah,then,,,,,,,,
38,the,king,said,i,order,you,,,,,
39,to,yawn,i,have,not,seen,anyone,yawning,,,
40,for,years,yawns,to,me,,,,,,
41,are,objects,of,curiosity,,,,,,,
42,come,now,yawn,again,it,is,an,order,,,
43,that,frightens,me,,,,,,,,
44,i,can't,,any,more,said,the,little,prince,,
45,blushing,hum,hum,,,,,,,,
46,replied,the,king,,,,,,,,
47,then,i,i,order,,,,,,,
48,you,sometimes,to,yawn,,,,,,,
49,and,sometimes,to,,,,,,,,
50,he,sputtered,a,bit,and,seemed,vexed,,,,
51,for,the,king,fundamentally,,,,,,,
52,insisted,that,his,authority,be,respected,,,,,
53,he,didnt,,tolerate,,,,,,,
54,disobedience,he,was,an,absolute,,,,,,
55,monarch,but,because,,,,,,,,
56,he,was,good,at,heart,he,gave,,,,
57,reasonable,orders,,,,,,,,,
58,if,i,ordered,a,general,he,,,,,
59,would,often,say,if,i,ordered,a,general,,,
60,to,change,himself,into,a,seabird,,,,,
61,and,if,the,general,did,not,obey,,,,
62,me,it,would,not,be,the,general,s,,,
63,fault,it,would,be,my,fault,,,,,
64,may,i,sit,down,,,,,,,
65,the,little,prince,enquired,timidly,,,,,,
66,i,order,you,to,sit,down,,,,,
67,replied,the,king,who,majestically,,,,,,
68,gathered,in,a,fold,of,his,ermine,,,,
69,mantle,but,the,little,,,,,,,
70,prince,was,astonished,the,planet,,,,,,
71,was,tiny,over,,,,,,,,
72,what,could,this,king,really,rule,,,,,
73,sire,,,,,,,,,,
74,he,said,to,him,excuse,,,,,,
75,my,asking,you,a,question,i,,,,,
76,order,you,to,ask,me,a,question,hastened,,,
77,to,say,the,king,sire,,,,,,
78,over,what,do,you,rule,,,,,,
79,over,everything,said,,,,,,,,
80,the,king,with,a,magnificent,simplicity,,,,,
81,over,everything,,,,,,,,,
82,the,king,made,a,subtle,,,,,,
83,gesture,pointing,out,his,planet,,,,,,
84,the,other,planets,and,the,stars,,,,,
85,over,all,that,,,,,,,,
86,asked,the,little,prince,over,,,,,,
87,all,that,the,king,answered,,,,,,
88,for,his,rule,was,not,only,absolute,,,,
89,it,was,also,universal,,,,,,,
90,and,the,stars,obey,,,,,,,
91,you,of,course,the,king,,,,,,
92,said,they,obey,instantly,,,,,,,
93,i,do,not,tolerate,insubordination,,,,,,
94,such,,,,,,,,,,
95,power,filled,the,little,prince,with,wonder,,,,
96,if,he,had,held,it,himself,,,,,
97,he,would,ve,been,able,to,watch,,,,
98,not,forty,four,but,seventy,,,,,,
99,two,or,even,a,hundred,or,even,,,,
100,two,hundred,sunsets,on,the,same,,,,,
101,day,without,ever,having,to,move,his,,,,
102,chair,and,as,he,felt,,,,,,
103,a,bit,sad,as,he,remembered,,,,,
104,his,forsaken,little,planet,,,,,,,
105,he,plucked,up,his,courage,to,ask,the,king,,
106,a,favour,i,,,,,,,,
107,d,like,to,see,a,sunset,do,,,,
108,that,for,me,order,the,sun,to,set,,,
109,if,i,ordered,a,general,,,,,,
110,to,fly,from,one,flower,to,another,like,,,
111,a,butterfly,or,to,write,a,tragic,,,,
112,drama,or,to,change,himself,into,,,,,
113,a,sea,bird,and,if,the,general,,,,
114,did,not,carry,out,the,order,received,,,,
115,which,one,of,us,would,be,in,the,wrong,,
116,you,said,the,little,prince,,,,,,
117,firmly,exactly,,,,,,,,,
118,one,must,ask,of,each,person,,,,,
119,that,which,they,can,give,,,,,,
120,the,king,went,on,authority,,,,,,
121,is,based,above,all,on,,,,,,
122,reason,if,you,ordered,your,people,,,,,
123,to,go,and,throw,themselves,into,the,sea,,,
124,they,would,rise,up,in,revolution,,,,,
125,i,have,the,right,to,demand,,,,,
126,obedience,because,my,orders,are,reasonable,,,,,
127,then,my,sunset,,,,,,,,
128,the,little,prince,reminded,him,who,,,,,
129,never,forgot,a,question,once,he,had,asked,,,
130,it,you,shall,have,your,sunset,,,,,
131,i,shall,command,it,but,,,,,,
132,i,shall,wait,according,to,my,science,,,,
133,of,government,until,conditions,are,,,,,,
134,favourable,when,will,that,,,,,,,
135,be,inquired,the,little,prince,,,,,,
136,hum,hum,,,,,,,,,
137,replied,the,king,who,consulted,,,,,,
138,a,bulky,almanac,hum,,,,,,,
139,hum,,,,,,,,,,
140,that,will,be,about,,,,,,,
141,about,,,,,,,,,,
142,that,will,be,this,evening,,,,,,
143,about,twenty,minutes,to,eight,and,,,,,
144,you,will,see,how,well,i,am,obeyed,,,
145,the,little,prince,yawned,,,,,,,
146,he,was,regretting,his,lost,,,,,,
147,sunset,and,then,he,,,,,,,
148,was,already,getting,a,little,bored,,,,,
149,i,ve,nothing,more,to,do,here,,,,
150,he,said,to,the,king,i,ll,set,,,
151,off,do,not,go,said,the,,,,,
152,king,who,was,very,proud,of,having,,,,
153,a,subject,do,not,go,i,will,,,,
154,make,you,a,minister,minister,of,,,,,
155,what,minister,of,,,,,,,,
156,of,justice,,,,,,,,,
157,but,there,s,nobody,here,to,judge,,,,
158,we,do,not,know,that,the,,,,,
159,king,said,to,him,i,have,not,yet,,,
160,made,a,complete,tour,of,my,kingdom,,,,
161,i,am,very,old,i,have,no,space,,,
162,for,a,carriage,and,it,tires,me,to,walk,,
163,oh,but,i,ve,already,looked,,,,,
164,said,the,little,prince,who,leant,,,,,
165,over,to,give,one,more,glance,at,,,,
166,the,other,side,of,the,planet,there,was,no,,
167,one,there,either,then,you,,,,,,
168,shall,judge,yourself,the,king,answered,,,,,
169,that,is,the,most,difficult,,,,,,
170,thing,of,all,it,is,much,more,,,,
171,difficult,to,judge,oneself,than,to,judge,,,,
172,someone,else,if,you,succeed,,,,,,
173,in,judging,yourself,rightly,,,,,,,
174,then,you,are,truly,wise,,,,,,
175,yes,said,the,little,prince,,,,,,
176,but,i,can,judge,myself,anywhere,,,,,
177,i,don't,,have,to,live,here,,,,
178,hum,hum,,,,,,,,,
179,said,the,king,i,am,fairly,,,,,
180,certain,that,somewhere,on,my,planet,,,,,
181,there,is,an,old,rat,i,hear,him,at,night,
182,you,can,judge,this,old,rat,,,,,
183,from,time,to,time,you,will,condemn,him,to,death,
184,thus,his,life,will,depend,,,,,,
185,on,your,justice,but,,,,,,,
186,you,will,pardon,him,on,each,occasion,to,conserve,,
187,him,there,is,only,one,of,him,,,,
188,i,replied,the,little,,,,,,,
189,prince,don't,,like,to,condemn,,,,,
190,anyone,to,death,and,now,,,,,,
191,i,think,i,ll,go,on,my,way,,,
192,no,said,the,king,,,,,,,
193,but,the,little,prince,having,readied,himself,,,,
194,to,leave,had,no,wish,to,grieve,,,,
195,the,old,monarch,,,,,,,,
196,if,your,majesty,wishes,to,be,promptly,,,,
197,obeyed,he,should,be,able,to,give,,,,
198,me,a,reasonable,order,he,,,,,,
199,should,be,able,for,example,,,,,,
200,to,order,me,to,leave,within,a,minute,,,
201,it,seems,to,me,that,conditions,,,,,
202,are,favourable,,,,,,,,,
203,as,the,king,made,no,answer,,,,,
204,the,little,prince,hesitated,at,first,,,,,
205,then,with,a,sigh,,,,,,,
206,took,his,leave,i,make,,,,,,
207,you,my,ambassador,the,king,hastily,,,,,
208,called,out,he,had,,,,,,,
209,a,magnificent,air,of,authority,,,,,,
210,the,grownups,are,,,,,,,,
211,very,strange,the,little,prince,,,,,,
212,said,to,himself,as,he,continued,on,his,,,
213,journey,the,,,,,,,,,
214,second,planet,was,inhabited,by,a,conceited,,,,
215,man,ah,,,,,,,,,
216,here,comes,a,visit,from,an,admirer,,,,
217,exclaimed,the,conceited,,,,,,,,
218,man,from,afar,the,moment,he,spotted,the,,,
219,little,prince,because,to,conceited,,,,,,
220,men,all,other,men,,,,,,,
221,are,admirers,good,morning,,,,,,,
222,said,the,little,prince,you,have,,,,,
223,a,funny,hat,it,s,for,saluting,,,,
224,the,conceited,man,replied,,,,,,,
225,it,s,to,raise,in,salute,when,,,,
226,people,acclaim,me,unfortunately,,,,,,,
227,nobody,ever,passes,by,this,way,,,,,
228,oh,really,said,the,,,,,,,
229,little,prince,who,didnt,,understand,,,,,
230,clap,your,hands,one,against,the,,,,,
231,other,the,conceited,man,advised,,,,,,
232,the,little,prince,clapped,his,,,,,,
233,hands,one,against,the,other,,,,,,
234,the,conceited,man,raised,his,hat,,,,,
235,in,a,modest,salute,,,,,,,
236,this,is,more,fun,than,the,visit,to,the,king,
237,the,little,prince,said,to,himself,,,,,
238,and,he,began,again,to,clap,,,,,
239,his,hands,one,against,the,other,,,,,
240,the,conceited,man,again,raised,,,,,,
241,his,hat,in,a,salute,,,,,,
242,after,five,minutes,of,this,exercise,,,,,
243,the,little,prince,grew,tired,,,,,,
244,of,the,monotony,of,the,game,,,,,
245,and,what,should,i,do,,,,,,
246,he,asked,to,make,the,hat,,,,,
247,come,down,but,the,conceited,,,,,,
248,man,didnt,,hear,him,conceited,,,,,
249,people,never,hear,anything,but,praise,,,,,
250,do,you,really,admire,,,,,,,
251,me,a,lot,he,asked,the,little,prince,,,
252,what,does,that,mean,,,,,,,
253,to,admire,to,,,,,,,,
254,admire,means,to,recognise,,,,,,,
255,that,i,m,the,most,handsome,the,best,,,
256,dressed,the,richest,and,the,most,intelligent,,,,
257,man,on,the,planet,,,,,,,
258,but,you,re,the,only,man,on,the,planet,,
259,do,it,for,me,admire,,,,,,
260,me,just,the,same,,,,,,,
261,i,admire,you,said,the,little,prince,,,,
262,shrugging,his,shoulders,a,little,,,,,,
263,but,how,can,that,interest,you,so,,,,
264,much,and,the,little,prince,,,,,,
265,went,away,the,,,,,,,,
266,grownups,are,certainly,very,odd,,,,,,
267,he,said,to,himself,as,he,continued,,,,
268,his,journey,,,,,,,,,
269,the,next,planet,was,inhabited,by,a,,,,
270,heavy,drinker,this,was,a,,,,,,
271,very,short,visit,but,it,plunged,,,,,
272,the,little,prince,into,a,deep,sadness,,,,
273,what,,,,,,,,,,
274,are,you,doing,there,he,said,to,the,drinker,,
275,who,he,found,sitting,in,silence,,,,,
276,in,front,of,a,number,of,empty,bottles,,,
277,and,a,number,of,full,bottles,,,,,
278,i,m,drinking,,,,,,,,
279,replied,the,drinker,gloomily,,,,,,,
280,why,are,you,drinking,the,little,,,,,
281,prince,asked,him,to,forget,,,,,,
